VEH_MAKE_ID,Total_Injuries,rank
NISSAN,16401,5
HONDA,15366,6
GMC,7714,7
JEEP,5910,8
HYUNDAI,5710,9
KIA,5051,10
CHRYSLER,4919,11
MAZDA,3740,12
FREIGHTLINER,3582,13
VOLKSWAGEN,3086,14
LEXUS,3045,15
