DRVR_ZIP,Contribution_combined,rank
`77471,"HAD BEEN DRINKING,NA,NA",1
N0G2M0,"UNDER INFLUENCE - ALCOHOL,NA,FAILED TO CONTROL SPEED",2
L9V2G1,"WRONG WAY - ONE WAY ROAD,NA,UNDER INFLUENCE - ALCOHOL",3
L6R 1Z6,"UNDER INFLUENCE - ALCOHOL,FAILED TO DRIVE IN SINGLE LANE,FATIGUED OR ASLEEP",4
L4E 3W8,"FAILED TO CONTROL SPEED,UNDER INFLUENCE - ALCOHOL,NA",5
